Key,Value,Version,Comment
input.rebind.ui.conflict.warning,"Tastaturpfeiltasten und Enter werden in der UI-Navigation verwendet. Deine letzte Belegung kann zu unerwünschten Effekten führen.",,
input.rebind.warning,"Warnung zur Neubelegung",,
input.reset,"Belegungen zurückgesetzt",,
input.reset.info,"Die Belegungen wurden auf die Standardwerte zurückgesetzt",,
input.Rotate,"Objekt drehen",,
input.RotateLeft,"Nach links drehen",,
input.RotateRight,"Nach rechts drehen",,
input.ShiftModifier,Umschalttastenmodifikator,,
input.ShortcutAdsCancel,"Schnelltaste: Aufgaben abbrechen",,
input.ShortcutAdsPriority,"Schnelltaste: Priorität ändern",,
input.ShortcutAdsRetry,"Schnelltaste: Aufgaben erneut versuchen",,
input.ShortcutCopyPaste,"Schnelltaste: Konfiguration kopieren",,
input.ShortcutEnergyConnect,"Schnelltaste: ans Stromnetz anschließen",,
input.ShortcutManageAds,"Schnelltaste: Aufgaben verwalten",,
input.ShortcutPlaceTiles,"Schnelltaste: Baumenü",,
input.ShortcutPlan,"Schnelltaste: Planung",,
input.ShortcutProcess,"Schnelltaste: Verarbeiten",,
input.ShortcutRelocate,"Schnelltaste: Umsetzen",,
input.ShortcutRemoveTiles,"Schnelltaste: Dekonstruieren",,
input.ShortcutRepairTiles,"Schnelltaste: Reparieren",,
input.ShortcutStore,"Schnelltaste: zur Lagereinheit transportieren",,
input.TimeSpeedFast1,"Zeittempo: Schnell",,
input.TimeSpeedFast2,"Zeittempo: Sehr schnell",,
input.TimeSpeedFast3,"Zeittempo: Wahnsinnig",,
input.TimeSpeedFaster,"Zeit beschleunigen",,"Label for key binding, for a button that increases the game clock speed (makes time flow faster)"
input.TimeSpeedNormal,"Zeittempo: Normal",,
input.TimeSpeedSlow,"Zeittempo: Langsam",,
input.TimeSpeedSlower,"Zeit verlangsamen",,"Label for key binding, for a button that decreases the game clock speed (makes time flow slower)"
input.ToggleConsole,"Konsole ein-/ausschalten",,"Label for key binding that toggles in-game console on and off. You can type various commands in that console, it is for more technical players or those who want to create mods (modifications) for the game."
input.ToggleTime,"Zeit umschalten",,
input.ToggleUI,"Benutzeroberfläche ein-/ausschalten",,
input.ToolNext,"Nächstes Werkzeug",2022-06-06,
input.ToolPrev,"Vorheriges Werkzeug",2022-06-06,
input.VMouseBack,"Controllermaus: Zurück",,
input.VMouseButtonL,"Controllermaus: Linksklick",,
input.VMouseButtonM,"Controllermaus: Mittelklick",,
input.VMouseButtonR,"Controllermaus: Rechtsklick",,
input.VMouseCycleUI,"Controllermaus: UI-Navigation",,
input.VMouseForward,"Controllermaus: Vorwärts",,
input.VMouseMove,"Controllermaus: Bewegung",,
input.VMouseScroll,"Controllermaus: Scrollen",,
install,Installieren,,
install.upgrade,"Verb.-Modul install.",,"[Weidengeist: Abbreviated to fit the info panel.]"
installable,Installierbar,,
installable.upgrade,"Installierbare Verbesserung",,
insulation.at,"Isolierung bei {0}: {1}",,
invert.scroll.tip,"Kehrt die Scrollrichtung des Mausrads um.",,
invincible.pets,"Unsterbliche Haustiere",,
is.being.petted,"Wird gestreichelt",,"as in »this cat is being petted right now«"
is.colonized,"{0} ist kolonisiert.",,
island.nr,"Bereich #{0}",,
item.storage,Lagereinheit,,
item.storage.bar,"Gegenstände: {0}/{1}",,
item.storage.unavailable,"Lager nicht verfügbar",,
item.storage.unavailable.desc,"Für diese Art von Gegenständen ist keine Lagerung verfügbar. Um Kleidungsstücke zu lagern, brauchst du einen Kleiderschrank, für Nahrungsmittel einen Kühlschrank.",,
job.priorities,Aufgabenprioritäten,,
job.priorities.help,"Klicke auf jedes Prioritätssymbol, um weitere Details zum Aufgabentyp zu erhalten. Passe die Prioritäten nach Belieben an. 0 verhindert, dass der Arbeiter die Aufgabe überhaupt in Betracht zieht; 9 wird dazu führen, dass der Arbeiter einer Aufgabe eine besonders hohe Priorität einräumt. Beachte, dass du Aufgabenprioritäten auch getrennt von Arbeitern anpassen kannst und es ein Werkzeug für die Massenanpassung gibt.",,
job.type.Animals,Tiere,,"job.type.X translations are displayed in job type priority controls (in this case there would be »Animals« priority where you can set it from 0 to 9). The same translation is also displayed in the tooltip of a task (job) of this type. Example: you hover the mouse cursor over someone who is training a dog and see a tooltip: »Task [Animals]: Train a dog«."
job.type.Cleaning,Reinigung,,
job.type.Construction,Konstruktion,,
job.type.Construction.help,"Konstruktionsaufgaben umfassen den kompletten Zyklus, der erforderlich ist, um eine Struktur zu bauen oder ein Gerät zu montieren. Dazu gehört auch das Mitbringen von Materialien zum Arbeitsplatz. Nicht alle Bauaufgaben können von jedem ausgeführt werden. Überprüfe die Anforderungen an die Baufähigkeiten und andere Aufgabeneigenschaften, wie z. B. die erforderliche Flugfähigkeit.",,
job.type.Cooking,Kochen,,
job.type.Crafting,Herstellung,,
job.type.Demolition,Abriss,,
job.type.Demolition.help,"Objektzerlegungs- und Bausubstanzdekonstruktionsaufgaben. Es wird nicht empfohlen, Roboter Abbrucharbeiten durchführen zu lassen, da sie leicht stecken bleiben können, wenn Böden unter ihnen entfernt werden.",,
job.type.Eating,Essen,,
job.type.Expedition,Expedition,,
job.type.Firefighting,Brandbekämpfung,,
job.type.Food,Nahrungsmittel,,
job.type.Hauling,Transport,,
job.type.Hauling.help,"Transport nicht eingelagerter Rohstoffhaufen zu Lagereinheiten. Nicht empfohlen für Roboterarbeiter, da sie langsam sind und nicht fliegen können.",,
job.type.Hygiene,Hygiene,,
job.type.Maintenance,Wartung,,"[Weidengeist: Changed from »Instandhaltung« to »Wartung« to be consistent with other uses of this term.]"
job.type.Maintenance.help,"Arbeiten im Zusammenhang mit der Instandhaltung des Gerätebetriebs, Transport von Rohstoffen zum Materiereaktor, Reinigung von Solarpaneelen usw.",,
job.type.Medical,Medizinisch,,
job.type.Needs,Bedürfnisse,,
job.type.Operations,"Operative Tätigkeiten",,"[Weidengeist: Context needs to be checked.]"
job.type.Order,Direktauftrag,,
job.type.Plants,Pflanzen,,
job.type.Plants.help,"Pflanzenpflege und Erntearbeiten.",,
job.type.Recreation,Erholung,,"[Weidengeist: Context needs to be checked.]"
job.type.Repairs,Reparatur,,
job.type.Repairs.help,"Reparaturen von beschädigten Strukturen und Geräten.",,
job.type.Rescue,Rettung,,
job.type.Research,Forschung,,
job.type.SatisfyingNeeds,"Bedürfnisse befriedigen",,
job.type.SelfMaintenance,Selbstwartung,,
job.type.SelfMaintenance.help,"Die Selbstwartung beeinflusst, wie eifrig dieser Arbeiter sich selbst aufladen oder seinen eigenen Schaden reparieren wird.",2022-06-14,
job.type.Sleeping,Schlaf,,
joined.colony,"{0} ist deiner Kolonie beigetreten!",,
keep.open,"Offen halten",,"Used on a button that forces a door to remain open"
known.beings,"Bekannte Wesen: {0}",,
labor.activity,"Aktivität: {0}",,
lacks.oxygen,"Braucht Sauerstoff",,
last.attempt,"Letzter Versuch",,
last.damage.amount,"Letzte Schadensmenge",,
last.damage.location,"Ort des letzten Schadens",,
last.damage.type,"Letzter Schadenstyp",,
last.expedition,"Letzte Expedition: {0}",,
last.name,Nachname,,
last.petted.by,"Zuletzt {1} von {0} gestreichelt.",,"Label for data about when a pet was petted by someone. Will look like »Last petted by John 2 hours ago«. {0} is name, {1} is »time ago«"
last.visit,"Letzter Besuch: {0}",,
launch,Abheben,,
launch.expedition,"Expedition starten",,
launch.probe,"Sonde starten",,
launching.expedition.to,"Starte Expedition<br><size=200%>{0}</size>",,
life.support.level,Lebenserhaltung,,
life.support.level.desc,"Die normale Lebenserhaltungsstufe verbraucht eine geringe Menge an Elektrizität, um zu verhinden, dass die Kryostabilität vollständig zum Erliegen kommt. Die erweiterte Lebenserhaltungsstufe erhöht die Stabilität allmählich und erlaubt zusätzliche Kontrolle über die Aufwachrate der Wesen.",2022-09-24,
life.support.no.power,"Lebenserhaltung hat zu wenig Energie",,
light,Licht,,"Noun. Used on a button that opens light source (i.e. lamp) controls, like color, brightness, etc."
link.inactive,"Verbindung inaktiv",,
link.verb,verbinden,,"verb, as in »create a link«"
linked,verbunden,,
load.failed,"Laden fehlgeschlagen",,
load.failed.corrupt,"Die Speicherdatei ist nicht kompatibel oder beim Deserialisieren der Daten ist ein Fehler aufgetreten: {0}. Dies bedeutet nicht unbedingt, dass dein Speicherstand beschädigt ist, sondern könnte ein behebbarer Fehler im Ladecode sein.",,
load.failed.incompatible,"Spielstand ist mit der aktuellen Version nicht kompatibel: {0}",,"[Weidengeist: {0} equals version?]"
load.save,"Spiel laden",,
loading,"Wird geladen …",,
loading.news,"Lade Neuigkeiten …",,
loading.save,"<size=200%>{0}</size><br>Neuronales Netzwerk hochfahren",,
location,Standort,,"[Weidengeist: Might need revision. Save location? A physical place?]"
lock,Verriegeln,,"Action verb for a button that locks the door"
locked,Verriegelt,,"Label for a state that shows that door is locked"
log.export.date,"Aktuelles Datum: {0}",,
log.export.header,<b>Stardeus</b>-Geschichtenlogbuch,,"A header for game story – a history of everything that happened to the player from the beginning of the game. This story can be exported and shared, etc."
log.export.save_name,"Schiffsname: {0}",,
lonely,Einsam,,
long.press.time.tip,"Es gibt einige Benutzeroberflächenelemente, die erfordern, dass eine Schaltfläche gedrückt und gehalten wird. Dies steuert die Dauer des Haltens. Setze sie auf 0, damit diese Schaltflächen wie normale Klickschaltflächen funktionieren.",,
longpress.time,"Zeit für langes Geklickthalten: {0:0.00} s",,
lost,Verloren,,"This is used to indicate that something that belongs to your base is stolen or destroyed. For example a space shuttle that flew on an expedition and got destroyed would have »lost« marker in its UI."
low.battery,"Niedriger Batteriestand",,
low.battery.info,"Dein Geräteakku hat noch Ladung für {0} Minuten! Schließe ein Ladegerät an.",,
make.siren.loud,"Ton: AUS",,
make.siren.silent,"Ton: EIN",,
male,Männlich,,
manage,Verwalten,,"[Weidengeist: Check if this refers to workers only or devices as well.]"
manage.ads.cancel,"Aufgaben abbrechen",,
manage.ads.cancel.desc,"Klicke auf eine Aufgabe oder ziehe einen Bereich über die Aufgaben, die du abbrechen möchtest.",,
manage.ads.priority.decrease,"Priorität verringern",,
manage.ads.priority.decrease.desc,"Bewege den Mauszeiger über ein Objekt, das eine Aufgabe hat, um seine Priorität anzuzeigen. Klicke auf das Objekt, um die Priorität zu verringern. Ziehe einen Bereich und alle Prioritäten der Aufgaben in diesem Bereich werden verringert.",,
manage.ads.priority.increase,"Priorität erhöhen",,
manage.ads.priority.increase.desc,"Bewege den Mauszeiger über ein Objekt, das eine Aufgabe hat, um seine Priorität anzuzeigen. Klicke auf das Objekt, um die Priorität zu erhöhen. Ziehe einen Bereich und alle Prioritäten der Aufgaben in diesem Bereich werden erhöht.",,
manage.ads.retry,"Aufgaben erneut versuchen",,
manage.ads.retry.desc,"Wiederhole fehlgeschlagene Aufgaben sofort.",,
manage.energy.node.tip,"Du kannst diesen Knoten über eine temporäre Verbindung verwalten, die von einem deiner Arbeiter bereitgestellt wird.",,
manual,Manuell,,"Opposite of key »auto«."
manual.survival.meal.content,"Eine langweilige Überlebensmahlzeit. Nichts Besonderes, aber hey, es enthält Proteine!",,
manual.survival.meal.title,Überlebensration,,
map.size,Kartengröße,,
map.size.too.small,"Karte zu klein",,
map.size.too.small.desc,"Dieses Szenario erfordert eine größere Karte",,
market.asset.class,Anlageklasse,,
market.asset.class.CFD,CFD,,
market.asset.class.CFD.info,"Ein Differenzkontrakt (CFD) ist eine Vereinbarung beim Handel mit Finanzderivaten, bei der die Differenzen zwischen dem Eröffnungs- und dem Schlusskurs des Geschäfts bar ausgeglichen werden. Bei CFDs gibt es keine Übertragung physischer Waren oder Wertpapiere.",,
market.asset.class.Equity,Eigenkapital,,
market.asset.class.Equity.info,"Das Eigenkapital, das in der Regel als <b>Eigenkapital der Anteilseigner</b> (oder bei Unternehmen in Privatbesitz als Eigenkapital der Eigentümer) bezeichnet wird, stellt den Geldbetrag dar, der an die Anteilseigner eines Unternehmens zurückfließen würde, wenn alle Vermögenswerte liquidiert und alle Schulden des Unternehmens im Falle einer Liquidation beglichen würden. Bei einer Übernahme ist es der Wert der Unternehmensverkäufe abzüglich aller Verbindlichkeiten des Unternehmens, die nicht mit dem Verkauf übertragen werden.",,
market.avg.price,Durchschnittspreis,,
market.avg.price.info,"Der Durchschnittspreis ist der Betrag, den du beim Erwerb deiner Aktien im Durchschnitt pro Aktie bezahlt hast. Er entspricht der Kostenbasis geteilt durch die Anzahl deiner eigenen Aktien.",,
market.buying,"Kaufe {0}",,"Displayed in a label when the player is buying a stock in the Stock Market. {0} is the stock name. Example: »Buying: Microsoft« [Weidengeist: Check if the label appears before or after the purchase, as this would change wording here.]"
market.cost.basis,Kostenbasis,,
market.cost.basis.info,"Die Kostenbasis ist der ursprüngliche Wert oder Kaufpreis eines Vermögenswerts oder einer Investition. Der Wert der Kostenbasis wird bei der Berechnung von Kapitalgewinnen oder -verlusten verwendet, die sich aus der Differenz zwischen dem Verkaufs- und dem Einkaufspreis ergeben.",,
market.current.price,"Aktueller Preis",,
market.high,Hoch,,
market.high.info,"Höchster jemals für diese Anlage verzeichneter Preis",,
market.low,Niedrig,,
market.low.info,"Niedrigster jemals für diese Anlage verzeichneter Preis",,
market.selling,"Verkaufe {0}",,"[Weidengeist: Check if the label appears before or after the purchase, as this would change wording here.]"
market.volatility,Volatilität,,
market.volatility.info,"Die Volatilität ist ein statistisches Maß für die Streuung der Renditen für ein bestimmtes Wertpapier oder einen Marktindex. In den meisten Fällen gilt: Je höher die Volatilität, desto riskanter ist das Wertpapier. Die Volatilität wird häufig entweder als Standardabweichung oder als Varianz zwischen den Renditen desselben Wertpapiers oder Marktindexes gemessen.<br><br>Auf den Wertpapiermärkten wird die Volatilität häufig mit großen Ausschlägen in beide Richtungen in Verbindung gebracht. Wenn zum Beispiel der Aktienmarkt über einen längeren Zeitraum um mehr als einen Prozentpunkt schwankt, spricht man von einem <b>volatilen</b> Markt. Die Volatilität eines Vermögenswerts ist ein Schlüsselfaktor bei der Bewertung von Optionskontrakten.",,
market.your.shares,"Deine Anteile",,
mat.composite,Verbundmaterial,,
mat.composite.desc,"Verbundmaterialien werden durch Verarbeitung oder Kombination anderer Materialien hergestellt. Sie können auch durch Dekonstruktion von Strukturen, die diese Materialien enthalten, gewonnen werden.",,
mat.energy.output,Energieabgabe,,
mat.energy.output.desc,"Dies ist ein relatives Maß dafür, wie viel Leistung eine einzelne Einheit eines Materials erzeugt, wenn es in einem Reaktor verbrannt wird.",,
mat.nutrient,Nährstoff,,
mat.nutrient.desc,"Nährstoffe sind vor allem nützlich, um Nahrung für Lebewesen zu produzieren.",,
mat.primary,Primärmaterial,,
mat.primary.desc,"Primärmaterialien können nicht durch die Kombination anderer Materialien hergestellt werden. Sie müssen durch Bergbau, Anbau etc. gewonnen werden.",,
mat.storage.unavailable,"Keine kompatible Lagereinheit",,
mat.storage.unavailable.desc,"Es gibt kein Lager, das dieses Material aufnehmen kann. Während die meisten Rohmaterialien in einer <b>Lagereinheit</b> verstaut werden können, brauchen einige Gegenstände ein besonderes Gerät (<b>Kühlschrank</b>, <b>Getränkekühlschrank</b>, <b>Garderobe</b>, <b>Schrank</b> etc.).",2022-09-13,
material.BatteryCell,Batteriezelle,,
material.Biowaste,Bioabfall,,
material.Bread,Brot,,
material.Carbon,Kohlenstoff,,
material.CarbonFiber,Kohlefaser,,
material.Coal,Kohle,,
material.Coffee,Kaffee,,
material.CoffeeBeans,Kaffeebohnen,,
material.Copper,Kupfer,,
material.CopperPlate,Kupferplatte,,
material.Flour,Mehl,,
material.Glass,Glas,,
material.Grain,Getreide,,
material.haul,"Material transportieren",,
material.Iron,Eisen,,
material.lack,"{0} benötigt",,"[Weidengeist: Used a term here that works well with singular and plural material.]"
material.Lithium,Lithium,,
material.Log,Holzscheit,,
material.Microchip,Mikrochip,,
material.PlantFiber,Pflanzenfasern,,
material.Protein,Protein,,
material.Quartz,Quarz,,
material.reservation.details,"Aktive Reservierungen: {0}",,
material.reservation.none,"Nicht reserviert",,
material.reserved,"Reserviert: {0}",,
material.Rock,Gestein,,
material.Silicon,Silizium,,
material.Soil,Erde,,
material.Steel,Stahlplatte,,
material.Titanium,Titan,,
material.TitaniumPlate,Titanplatte,,
material.Uranium,Uran,,
material.Water,Wasser,,
material.Wood,Holz,,
matter.reactor,Materiereaktor,,
max.texture.size.too.high,"Die ausgewählte Texturqualität ist für deine Grafikkarte nicht verfügbar. Sie wird automatisch auf die höchste verfügbare Qualität zurückgesetzt.",,
meal.take,"Eine Mahlzeit einnehmen",,"order, as in »Take a meal and go eat it«"
medical.slots,"Medizinische Behandlungsplätze",,"[Weidengeist: Used for free capacities of medical treatment? Check this.]"
memory.module,Arbeitsspeichermodul,,
memory.module.amount,"{0} EB",,
memory.module.builtin,"Eingebautes Arbeitsspeichermodul",,
memory.module.unpowered,"Arbeitsspeichermodul (ohne Stromversorgung)",,
menu.about,Über,,
menu.asteroids,Asteroiden,,
menu.asteroids.desc,"Erzeuge einen Asteroiden oder einen Meteoritenschauer.",,
menu.atmosphere,Atmosphäre,,
menu.atmosphere.desc,"Geräte zur Atmosphärenbeeinflussung.",,
menu.back,Zurück,,
menu.beds,Betten,,
menu.beds.desc,"Möbelstücke zum Schlafen oder Ausruhen.",,
menu.beings,Wesen,,
menu.beings.desc,"Roboter, Drohnen, Menschen.",,
menu.chairs,Stühle,,
menu.chairs.desc,"Sitze für deine menschlichen Kolonisten.",,
menu.clothing,Kleidung,,
menu.clothing.desc,"Verschiedene Kleidungsstücke.",,
menu.comms,Kommunikation,,
menu.comms.desc,Kommunikationsgeräte.,,
menu.computing,Datenverarbeitung,,
menu.computing.desc,EDV-Geräte.,,
menu.containers,Behälter,,
menu.containers.desc,"Erzeugen eines Behälters.",,
menu.cosmetics,Kosmetik,,
menu.cosmetics.desc,"Verschiedene Dekorationen für dein Schiff.",,
menu.decor,Dekor,,
menu.decorations,Dekorationen,,
menu.decorations.desc,"Dinge, die als Zierde dienen, manchmal mit zusätzlichen Funktionen.",,
menu.dev,Entwickler,,
menu.dev.desc,Entwicklerwerkzeuge.,,
menu.devices,Geräte,,
menu.devices.desc,"Verschiedene Geräte.",,
menu.dirt,Dreck,,
menu.dirt.desc,"Schmutz erzeugen.",,
menu.doors,Türen,,
menu.doors.desc,"Türen und Schleusen.",,
menu.eggs,Eier,,
menu.eggs.desc,"Ein Ei erzeugen.",,
menu.elysium,Elysium,,
menu.elysium.desc,"Erweiterungen für dein Elysium.",,
menu.energy,Elektrizität,,
menu.energy.desc,"Elektrizitätsbezogene Geräte.",,
menu.equipment,Ausrüstung,,
menu.equipment.desc,"Ausrüstung erzeugen.",,
menu.exit,Beenden,,
menu.exit.desc,"Zurück zum Hauptmenü.",,
menu.exit.os,"Beenden und zum Desktop",,
menu.exit.os.desc,"Spiel automatisch speichern und zum Desktop zurückkehren.",,
menu.facilities,Einrichtungen,,
menu.facilities.desc,"Verschiedene Einrichtungen.",,
menu.floorlit,"Beleuchtete Böden",,
menu.floorlit.desc,"Fußböden mit eingebauten Lichtquellen",,
menu.floorregular,"Normale Böden",,
menu.floorregular.desc,"Normale Böden von mittlerer Haltbarkeit, empfohlen für Wohnräume.",,
menu.floorreinforced,"Verstärkte Böden",,
menu.floorreinforced.desc,"Böden mit erhöhter Haltbarkeit, empfohlen für Außenbereiche des Schiffes.",,
menu.floors,Böden,,
menu.floors.desc,"Alle Arten von Böden.",,
menu.floorspecial,"Spezielle Böden",,
menu.floorspecial.desc,"Rahmen und andere spezielle Bodentypen.",,
menu.food,Lebensmittelproduktion,,
menu.food.desc,"Nahrungsmittelproduktion und ähnliche Geräte.",,
menu.furniture,Möbel,,
menu.furniture.desc,"Stühle, Tische, Betten.",,
menu.fx,Dreck,,
menu.game.continue,Fortfahren,,
menu.game.load,Laden,,
menu.game.name,Spielname,,
menu.game.name.enter,"Spielname …",,
menu.game.new,"Neues Spiel",,
menu.game.settings,"Aktuelle Einstellungen",,
menu.game.settings.desc,"Einstellungen für das aktuelle Spiel",,
menu.global.settings,"Globale Einstellungen",,
menu.global.settings.desc,"Einstellungen, die über mehrere Spiele hinweg gleich bleiben",,
menu.hats,Hüte,,
menu.hats.desc,"Verschiedene Kopfbedeckungen.",,
menu.headgear,Kopfbedeckung,,
menu.main,Hauptmenü,,
menu.main.tooltip,"Verwende Tab, um nach Einträgen in diesem Menü zu suchen.",,
menu.materials,Materialien,,
menu.materials.desc,"Verschiedene Materialien.",,
menu.meals,Mahlzeiten,,
menu.meals.desc,"Eine Mahlzeit erzeugen.",,
menu.misc,Verschiedenes,,
menu.misc.desc,"Diverse sonstige Objekte",,
menu.mods,Mods,,
menu.obj,Objekte,,
menu.obj.desc,"Verschiedene bewegliche Objekte, Ressourcen, etc.",,
menu.objects,Objekte,,
menu.objects.desc,"Objekte, die du bauen kannst.",,
menu.plants,Pflanzen,,
menu.plants.desc,"Verschiedene Pflanzen.",,
menu.press.any.key,"Drücke beliebige Taste",,
menu.production,Produktion,,
menu.production.desc,"Geräte zur Verarbeitung von Materialien, Montage von Geräten, etc",,
menu.projectiles,Projektile,,
menu.save,Speichern,,
menu.save.desc,"Speichere das Spiel.",,
menu.security,Sicherheit,,
menu.security.desc,"Waffen und Verteidigungssysteme",,
menu.settings,Einstellungen,,
menu.settings.audio,Audio,,
menu.settings.audio.desc,"Audioeinstellungen ändern.",,
menu.settings.current_game,"Aktuelle Spieleinstellungen",,
menu.settings.desc,"Globale und Spieleinstellungen",,
menu.settings.gameplay,Spielablauf,,
menu.settings.input,Steuerung,,
menu.settings.language,Language,,"Do not translate this please!"
menu.settings.video,Video,,
menu.settings.video.desc,"Video-/Graphikeinstellungen ändern.",,
menu.shuttles,Schiffe,,
menu.shuttles.desc,"Schiffe für die Raumfahrt.",,
menu.spacetravel,Raumfahrt,,
menu.spacetravel.desc,"Raumfahrtbezogene Objekte.",,
menu.special,Spezial,,
menu.special.desc,"Verschiedene Geräte für spezielle Zwecke.",,
menu.structure,Bausubstanz,,
menu.structure.desc,"Wände, Böden und Türen",,
menu.tables,Tische,,
menu.tables.desc,"Möbelstücke, die einen flachen, ebenen Untergrund bieten.",,
menu.upgrades,Verbesserungen,,
menu.upgrades.desc,"Erzeuge ein Verbesserungsmodul.",,
menu.walls,Wände,,
menu.walls.desc,"Alle Arten von Wänden.",,
menu.weapons,Waffen,,
menu.weapons.desc,Handfeuerwaffen.,,
merchant.beacon,Handelsbake,,
merchant.beacon.success,"Handelsbake wahrgenommen",,"Displayed in event notification, after the Merchant Beacon device has successfully hailed a merchant. Then if we click this event notification, we will see what type of merchant is going to arrive."
merchant.offering.trade,"Der Händler bietet eine Transaktion an.",,
merchant.ship,"{0} (Händler)",,
merchant.ship.offering.trade,"Handelsschiff, das Transaktion anbietet",,
merchant.type.MerchantAlloy,Legierungshändler,,
merchant.type.MerchantBuilding,Bauressourcenhändler,,
merchant.type.MerchantGeneral,Krämer,,
merchant.type.MerchantOil,Ölhändler,,
merchant.type.MerchantOre,Erzhändler,,
merchant.type.MerchantRobotics,Robotikexperte,,
merchant.type.MerchantSlaver,Sklavenhändler,,
merchant.type.MerchantUpgrades,Verbesserungshändler,,
merchant.type.MerchantWeapon,Waffenhändler,,
merchants.wallet,"{0}s Konto",,
meteor,Meteor,,
meteor.impact,Meteoreinschlag,,
meteor.incoming,"Meteor im Anflug",,
meteor.shower.avoided,"Eine gute Nachricht, Freunde! Wir sind einem Meteoritenschauer ausgewichen!",,"Referencing Prof. Hubert Farnsworth from »Futurama«"
mining.currency,"Schürfe {0}",,"[Weidengeist: Context needs to be checked. {0} equals Starcreds amount?]"
mining.orders,Bergbauaufträge,,
missing,Fehlt,,
missing.airlock,"Fehlende Luftschleuse",,
missing.airlock.desc,"Dein Schiff sollte mindestens eine Luftschleuse an der Außenwand haben, um den Zugang zum offenen Weltraum zu gewährleisten.",,
ml.booth.bar,"Übe {0}: {1:0.00}",,"{0} will be skill name, {1:0.00} will show the level with fraction. Example: »Training Construction: 3.45«"
mod.disabled,"Mod deaktiviert",,
mod.enabled,"Mod aktiviert",,
mod.version,"Modversion: {0}",,
modifier.MapSize,"Kartengröße [{0} × {0}]",,
modifier.MapSize.desc,"Definiert den Bereich, in dem du bauen kannst. Größere Karten können sich negativ auf die Performanz auswirken.",,
modifier.NoCombat,"Kampf deaktivieren",,
modifier.NoCombat.desc,"Friedlicher Modus, ohne Kämpfe und feindliche Überfälle.",,
modifier.NoDeviceWear,"Geräteverschleiß deaktivieren",,
modifier.NoDeviceWear.desc,"Die Geräte verlieren durch den Gebrauch nicht an Haltbarkeit.",,
modifier.NoPause,"Ohne Pause",,
modifier.NoPause.desc,"Die Zeit kann nicht angehalten werden. Du kannst immer noch zu hohen Geschwindigkeiten wechseln, aber nicht die Zeit anhalten.",,
modifier.NoReload,"Kein Laden nach dem Tod (Permadeath)",,
modifier.NoReload.desc,"Der Kein-Laden-nach-dem-Tod-Modus ist die Art und Weise, wie dieses Spiel gespielt werden soll. Es kann und wird allerdings unbarmherzig werden. Jedwedes Ereignis, das deiner Kolonie widerfährt, ist dauerhaft.",,
modifier.NoTutorialQuests,"Anfängermission überspringen",,
modifier.NoTutorialQuests.desc,"Ist dies ausgewählt, werden einige Anfängermissionen übersprungen.",2022-10-08,"Removed comment about locking research nodes, it doesn’t do that anymore"
modifier.ResourceMul,"Ressourcenmultiplikator [{0:0.##x}]",,
modifier.ResourceMul.desc,"Ändert die Menge der Anfangsressourcen, die beim Start eines neuen Spiels verfügbar sind. Beeinflusst auch die Menge der auf Planeten verfügbaren Ressourcen.",,
modifier.ShipSize,"Schiffsgröße [{0:0.##} ×]",,
modifier.ShipSize.desc,"Passt die relative Größe des generierten Schiffes an. Eine geringe Größe kann mehr Generierungsversuche erfordern. Der Start in einem kleinen Schiff wird schwieriger sein als in einem großen.",,
modifiers,Modifikatoren,,"A label for options that modify the gameplay. You select the modifiers you want to start your game with in »new game« menu. Modifiers will be options like »Difficulty level«, »Disable combat«, etc."
month,Monat,,
mood,Stimmung,,
mood.trend,"Stimmungstrend: {0}",,
move.near.pos,"In die Nähe von {0} bewegen",,
move.to.obj,"Bewegt sich nach {0}",,
move.to.pos,"Nach {0} bewegen",,
multiple.nodes,"Mehrere Knotenpunkte",,
multiple.selection,"Mehrere {0}",,
my.birthday,"Mein Geburtstag",,
naked,Nackt,,
nav.arrived,"Bewegt sich nicht",,
nav.fail.being.dead,"Arbeiter ist tot",,
nav.fail.being.immobilized,"Arbeiter ist bewegungsunfähig. Entweder ist er entladen oder braucht einen Boden, um sich zu bewegen, hat aber keinen.",,
nav.fail.last.nav.not.done,"Letzter Navigationsbefehl wird erst noch beendet",,
nav.fail.object.blocked.by.adjacent,"Der Zugang zu diesem Objekt ist durch benachbarte Objekte oder Bauten blockiert.",,
nav.fail.target.unavailable,"Ziel nicht verfügbar",,
nav.fail.unreachable.flying,"Fliegender Arbeiter konnte keinen Weg zum Zielort finden. Überprüfe, ob die Türen mit Strom versorgt werden und nicht verschlossen sind oder ob der Arbeiter nicht eingemauert ist.",,
nav.fail.unreachable.grounded,"Der Arbeiter am Boden hat keinen Weg zum Zielort gefunden. Überprüfe, ob die Türen mit Strom versorgt werden und nicht verschlossen sind oder ob der Arbeiter nicht eingemauert ist.",,
nav.failed,"Navigation zu {0} fehlgeschlagen",,
nav.flying,Flugfähig,,
nav.grounded,"Braucht Boden zum Laufen",,
nav.immobilized,Bewegungsunfähig,,
nav.moving,"Bewegt sich nach {0}",,
nav.waiting,"Berechnung des Pfads zu {0}",,
navigation,Navigation,,
nebula.opt,"Qualität des Weltraumnebels",,
nebula.opt.off,Aus,,
nebula.opt.realtime,"Echtzeit (unoptimiert)",,
nebula.opt.static,"Statisch (empfohlen)",,
