Key,Translation,Version,Comment (context for translators)
material.BatteryCell,Ogniwo Baterii,,
material.Biowaste,Bioodpady,,
material.Bread,Chleb,,
material.Carbon,Węglik,,
material.CarbonFiber,Włókno Węglowe,,
material.Coal,Węgiel,,
material.Coffee,Kawa,,
material.CoffeeBeans,Ziarna Kawy,,
material.Copper,Miedź,,
material.CopperPlate,Miedziana Blacha,,
material.Flour,Mąka,,
material.Glass,Szkło,,
material.Grain,Ziarna,,
material.haul,Holuj materiał,,
material.Iron,Żelazo,,
material.lack,Nie wystarczająco {0},,
material.Lithium,Lit,,
material.Log,Kłoda,,
material.Microchip,Mikroczip,,
material.PlantFiber,Włókno Roślinne,,
material.Protein,Proteiny,,
material.Quartz,Kwarc,,
material.reservation.details,Aktywne Rezerwacje: {0},,
material.reservation.none,Nie Zarezerwowane,,
material.reserved,Zarezerwowane: {0},,
material.Rock,Kamień,,
material.Silicon,Silikon,,
material.Soil,Gleba,,
material.Steel,Stalowa Blacha,,
material.Titanium,Tytan,,
material.TitaniumPlate,Tytanowa Blacha,,
material.Uranium,Uran,,
material.Water,Woda,,
material.Wood,Drewno,,
matter.reactor,Reaktor Materii,,
max.texture.size.too.high,Wybrana jakość tekstur nie jest dostępna dla Twojego procesora graficznego. Zostanie automatycznie zresetowany do najwyższego dostępnego poziomu.,,
meal.take,Zjedz Danie,,"order, as in ""Take a meal and go eat it"""
medical.slots,Sloty Medyczne,,
memory.module,Moduł Pamięci,,
memory.module.amount,{0} EB,,
memory.module.builtin,Wbudowany moduł pamięci,,
memory.module.unpowered,Moduł pamięci (bez zasilania),,
menu.about,Więcej o,,
menu.asteroids,Asteroidy,,
menu.asteroids.desc,Tworzy asteroidy lub rój meteoroidów,,
menu.atmosphere,Atmo,07.08.2023,"Must be short, Atmosphere is too long to fit in the button. Can be longer if two short words, so it can break by space in two lines."
menu.atmosphere.desc,Urządzenia związane z kontrolą atmosfery,,
menu.back,Wstecz,,
menu.beds,Łóżka,,
menu.beds.desc,Meble do spania lub odpoczynku,,
menu.beings,Istoty,,
menu.beings.desc,"Roboty, Drony, Ludzie",,
menu.chairs,Krzesła,,
menu.chairs.desc,Siedzenia dla ludzkich kolonistów,,
menu.clothing,Ubrania,,
menu.clothing.desc,Różne elementy ubioru,,
menu.comms,Comms,05.08.2023,"Must be a short word or two short words, as it has little space horizontally but can wrap vertically. 'Communications' is too long."
menu.comms.desc,Sprzęt do komunikacji,,
menu.computing,Przetwarzanie danych,,
menu.computing.desc,Urządzenia związane z przetwarzaniem danych,,
menu.containers,Pojemnik,,
menu.containers.desc,Stwórz pojemnik,,
menu.cosmetics,Kosmetyczne,,
menu.cosmetics.desc,Różne dekoracje dla twojego statku,,
menu.decor,Wystrój,,
menu.decorations,Dekoracje,,
menu.decorations.desc,"Rzeczy, które służą jako ozdoby, czasem posiadają dodatkowe funkcje",,
menu.dev,Deweloper,,
menu.dev.desc,Narzędzia programistyczne,,
menu.devices,Urządzenia,,
menu.devices.desc,Różne urządzenia,,
menu.dirt,Brud,,
menu.dirt.desc,Stwórz brudne piktogramy,,
menu.doors,Drzwi,,
menu.doors.desc,Drzwi i śluzy powietrzne,,
menu.eggs,Jajka,,
menu.eggs.desc,Stwórz Jajko,,
menu.elysium,Elizjum,,
menu.elysium.desc,Dodatki dla twojego Elizjum,,
menu.energy,Elektryczność,,
menu.energy.desc,Urządzenia związane z energią elektryczną,,
menu.equipment,Ekwipunek,,
menu.equipment.desc,Stwórz ekwipunek,,
menu.exit,Wyjdź,,
menu.exit.desc,Wyjdź do Menu Głównego,,
menu.exit.os,Wyjdź do Pulpitu,,
menu.exit.os.desc,Auto zapis i wyjdź do pulitu,,
menu.facilities,Udogodnienia,,
menu.facilities.desc,Różne udogodnienia,,
menu.floorlit,Podświetlane Podłogi,,
menu.floorlit.desc,Podłogi z wbudowanymi światłami,,
menu.floorregular,Zwykłe Podłogi,,
menu.floorregular.desc,"Podłogi zwykłe o średniej trwałości, polecane do pomieszczeń mieszkalnych",,
menu.floorreinforced,Wzmocnione Podłogi,,
menu.floorreinforced.desc,"Podłogi o zwiększonej wytrzymałości, zalecane do zewnętrznych obszarów statku",,
menu.floors,Podłogi,,
menu.floors.desc,Wszystkie podłogi,,
menu.floorspecial,Specjalne Podłogi,,
menu.floorspecial.desc,Ramy i inne specjalistyczne typy podłóg,,
menu.food,Jedzenie,05.08.2023,"best to keep it short, as it cannot fit horizontally if too long"
menu.food.desc,Produkcja żywności i związane z tym urządzenia,,
menu.furniture,Meble,,
menu.furniture.desc,"Krzesła, stoły, łóżka",,
menu.fx,Brud,,
menu.game.continue,Kontynuuj,,
menu.game.load,Załaduj,,
menu.game.name,Nazwa Statku,,
menu.game.name.enter,Nazwa Statku…,,
menu.game.new,Nowa Gra,,
menu.game.settings,Ustawienia Gry,,
menu.game.settings.desc,Ustawienia związane z twoją aktualną grą,,
menu.global.settings,Ustawienia Globalne,,
menu.global.settings.desc,"Ustawienia, które pozostają takie same w wielu grach",,
menu.hats,Kapelusze,,
menu.hats.desc,Różne nakrycia głowy,,
menu.headgear,Nakrycia głowy,,
menu.main,Menu Główne,,
menu.main.tooltip,"Użyj klawisza TAB, aby wyszukać pozycje w tym menu",,
menu.materials,Materiały,,
menu.materials.desc,Różne materiały,,
menu.meals,Dania,,
menu.meals.desc,Stwórz Danie,,
menu.misc,Różne,,
menu.misc.desc,Pozostałe obiekty,,
menu.mods,Mody,,
menu.obj,Objekty,,
menu.obj.desc,"Różne luźne przedmioty, zasoby itp.",,
menu.objects,Objekty,,
menu.objects.desc,Objekty które możesz zbudować,,
menu.plants,Rośliny,,
menu.plants.desc,Różne rośliny,,
menu.press.any.key,Wciśnij cokolwiek,,
menu.production,Produkcja,,
menu.production.desc,"Urządzenia do obróbki materiałów, montażu urządzeń itp.",,
menu.projectiles,Pociski,,
menu.save,Zapisz,,
menu.save.desc,Zapisz grę,,
menu.security,Bezpieczeństwo,,
menu.security.desc,Bronie i systemy obronne,,
menu.settings,Ustawienia,,
menu.settings.audio,Audio,,
menu.settings.audio.desc,Zmień ustawienia audio,,
menu.settings.current_game,Ustawienia Aktualnej Gry,,
menu.settings.desc,Ustawienia Globalne,,
menu.settings.gameplay,Rozgrywka,,
menu.settings.input,Wejście,,
menu.settings.language,Language,,Do not translate this please!
menu.settings.video,Wideo,,
menu.settings.video.desc,Zmień ustawienia wideo,,
menu.shuttles,Promy Kosmiczne,,
menu.shuttles.desc,Promy Kosmiczne do podróży w przestrzeni,,
menu.spacetravel,Podróż Kosmiczna,,
menu.spacetravel.desc,Obiekty związane z podróżą kosmiczną,,
menu.special,Specjalne,,
menu.special.desc,Różne urządzenia do celów specjalistycznych,,
menu.structure,Struktura,,
menu.structure.desc,"Ściany, Podłogi i drzwi",,
menu.tables,Stoły,,
menu.tables.desc,"Meble z płaskim blatem zapewniającym równą, poziomą powierzchnię",,
menu.upgrades,Ulepszenia,,
menu.upgrades.desc,Stwórz moduły Ulepszeń,,
menu.walls,Ściany,,
menu.walls.desc,Wszelkie rodzaje ścian,,
menu.weapons,Bronie,,
menu.weapons.desc,Bronie Ręczne,,
merchant.beacon,Sygnał dla Kupców,,
merchant.beacon.success,Sygnał znalazł Kupca,,"Displayed in event notification, after the Merchant Beacon device has successfully hailed a merchant. Then if we click this event notification, we will see what type of merchant is going to arrive."
merchant.offering.trade,Kupiec chce z tobą handlować,,
merchant.ship,{0} (Kupiec),,
merchant.ship.offering.trade,Statek Kupca Oferuje Handel,,
merchant.type.MerchantAlloy,Handlarz Stopami,,
merchant.type.MerchantBuilding,Dostawca Materiałów Budowlanych,,
merchant.type.MerchantGeneral,Generalista,,
merchant.type.MerchantOil,Handlarz Ropy,,
merchant.type.MerchantOre,Handlarz Rud,,
merchant.type.MerchantRobotics,Ekspert Robotyki,,
merchant.type.MerchantSlaver,Handlarz Niewolników,,
merchant.type.MerchantUpgrades,Handlarz Ulepszeń,,
merchant.type.MerchantWeapon,Handlarz Bronią,,
merchants.wallet,Portfel {0},,
meteor,Meteroida,,
meteor.impact,Uderzenie meteoroidy,,
meteor.incoming,Nadlatuje Meteroida,,
meteor.shower.avoided,Świetna wiadomość!. Uniknęliśmy deszczu meteoroidów!,,
mining.currency,Wydobywa {0},,
mining.orders,Rozkaz Wydobywania,,
missing,Brakuje,,
missing.airlock,Brakuje Śluzy Powietrznej,,
missing.airlock.desc,"Twój statek powinien mieć co najmniej jedną śluzę powietrzną na zewnętrznej ścianie, aby zapewnić dostęp do otwartej przestrzeni.",,
ml.booth.bar,Trenuje {0}: {1:0.00},,"{0} will be skill name, {1:0.00} will show the level with fraction. Example: ""Training Construction: 3.45"""
mod.disabled,Mod Wyłączony,,
mod.enabled,Mod Włączony,,
mod.version,Wersja Moda: {0},,
modifier.MapSize,Rozmiar Mapy [{0}x{0}],,
modifier.MapSize.desc,"Określa obszar, na którym można budować. Większe mapy mogą mieć negatywny wpływ na wydajność.",,
modifier.NoCombat,Wyłącz Walkę,,
modifier.NoCombat.desc,"Tryb pokojowy, bez walk i najazdów.",,
modifier.NoDeviceWear,Wyłącz zużycie urządzeń,,
modifier.NoDeviceWear.desc,Urządzenia nie stracą trwałości przez użytkowanie.,,
modifier.NoPause,Bez Pauzy,,
modifier.NoPause.desc,"Czasu nie da się zatrzymać. Nadal możesz przełączać na wysokie prędkości, ale nie możesz się zatrzymać.",,
modifier.NoReload,Brak Ponownego Wczytywania (Permadeath),,
modifier.NoReload.desc,"Tryb „Bez Ponownego Wczytywania” to sposób, w jaki powinno się grać w tę grę. Będzie to nie lada wyzwanie. Każde wydarzenie, które przydarzy się twojej kolonii, jest trwałe.",,
modifier.NoTutorialQuests,Pomiń zadania dla początkujących,,
modifier.NoTutorialQuests.desc,"Jeśli ta opcja zostanie wybrana, kilka zadań na poziomie początkującym zostanie pominiętych.",08.10.2022,"Removed comment about locking research nodes, it doesn't do that anymore"
modifier.ResourceMul,Mnożnik zasobów [{0:0.##x}],,
modifier.ResourceMul.desc,Zmienia ilość początkowych zasobów dostępnych dla gracza po rozpoczęciu nowej gry.,10.05.2023,
modifier.ShipSize,Rozmiar statku [{0:0.##}x],,
modifier.ShipSize.desc,Dostosowuje rozmiar generowanego statku. Wygenerowanie małego statku może wymagać większej liczby prób. Start na małym statku będzie trudniejszy niż na dużym.,,
modifiers,Modyfikatory,,"A label for options that modify the gameplay. You select the modifiers you want to start your game with in ""new game"" menu. Modifiers will be options like ""Difficulty level"", ""Disable combat"", etc."
month,Miesiąc,,
mood,Nastrój,,
mood.trend,Trend Nastroju: {0},,
move.near.pos,Przenieś blisko do {0},,
move.to.obj,Przenoszone do {0},,
move.to.pos,Przenieś do {0},,
multiple.nodes,Wiele Węzłów,,
multiple.selection,Wiele {0},,
my.birthday,Moje Urodziny,,
naked,Nagi,,
nav.arrived,Nie rusza się,,
nav.fail.being.dead,Pracownik nie żyje,,
nav.fail.being.immobilized,"Robotnik jest unieruchomiony. Albo jest rozładowywany, albo nie ma podłogi, po której może się poruszać.",,
nav.fail.last.nav.not.done,Wciąż kończy ostatnie zlecenie przemieszczenia się.,,
nav.fail.object.blocked.by.adjacent,Dostęp do tego obiektu blokują sąsiednie obiekty lub architektura.,,
nav.fail.target.unavailable,Cel niedostępny,,
nav.fail.unreachable.flying,"Latający robotnik nie mógł znaleźć ścieżki do lokalizacji docelowej. Sprawdź, czy drzwi są zasilane lub niezablokowane, oraz czy robotnik nie jest odgrodzony murem.",,
nav.fail.unreachable.grounded,"Naziemny pracownik nie znalazł ścieżki do lokalizacji docelowej. Sprawdź, czy drzwi są zasilane lub niezablokowane, oraz czy pracownik nie jest odgrodzony murem.",,
nav.failed,Nawigacja do {0} nie powiodła się,,
nav.flying,Potrafi Latać,,
nav.grounded,Potrzebuje podłogi do przemieszczania się,,
nav.immobilized,Unieruchomiony,,
nav.moving,Idzie do {0},,
nav.waiting,Oblicza drogę do {0},,
navigation,Nawigacja,,
nebula.opt,Jakość Mgławicy Kosmicznej,,
nebula.opt.off,Wyłączone,,
nebula.opt.realtime,Złożone i w czasie rzeczywistym (wysoki wpływ na GPU!),04.03.2023,
nebula.opt.optimized,Proste i w czasie rzeczywistym,04.03.2023,
nebula.opt.static,Statyczne,04.03.2023,
nebula.opt.tip,"<b>Złożone i w Czasie Rzeczywistym</b>: najpiękniejsza opcja mgławicy, ale generalnie nie jest zalecana ze względu na wysoki wpływ na GPU.<br><b>Proste i w czasie rzeczywistym</b>: prostsza wersja mgławicy w czasie rzeczywistym z efektem paralaksy. Znacznie szybsze niż wersja złożona.<br><b>Statyczny</b>: migawka pięknej i złożonej mgławicy, ale bez rotacji i efektu paralaksy. Zalecane dla wolniejszego sprzętu.<br><b>Wyłączone</b>: Mgławica zostanie całkowicie wyłączona.",04.03.2023,
need.Aesthetics,Estetyka,,
need.Aesthetics.info,Potrzeba czystego i ładnie wyglądającego środowiska.,,
need.Electricity,Energia elektryczna,,
need.Electricity.info,"Energia elektryczna jest w większości przypadków głównym źródłem energii dla wszystkich sztucznych form życia, w tym robotników i dronów. Jeśli poziom potrzeb energii elektrycznej spadnie do 0, pracownik rozpocznie procedurę awaryjnego ładowania, podczas której nie będzie mógł się poruszać ani wykonywać żadnych zadań, dopóki wbudowane panele słoneczne nie przywrócą poziomu naładowania do 10%. Zbuduj wystarczającą liczbę stacji ładujących, aby zapobiec zmniejszeniu wydajności robotników i tymczasowemu wyłączeniu z powodu awaryjnego ładowania.",,
need.Fun,Zabawa,,
need.Fun.info,Zabawa jest niezbędna do utrzymania dobrego nastroju.,,
need.Hunger,Głód,,
need.Hunger.info,"Kiedy istota jest głodna, będzie szukać pożywienia.",,
need.Maintenance,Konserwacja,,
need.Maintenance.info,"Aby zapewnić płynne działanie, roboty i drony wymagają regularnej konserwacji. Zbuduj Stację Naprawczą, aby zaspokoić potrzeby konserwacyjne.",,
need.None,Brak (Potrzeb),,
need.Oxygen,Tlen,,
need.Oxygen.info,"Ta istota potrzebuje wystarczającej ilości tlenu, aby przeżyć.",,
need.Purpose,Poczucie Celu,,
need.Purpose.info,"Istoty będą miały tendencję do wykonywania większej ilości pracy, jeśli zostanie ona nagrodzona poczuciem celu. Jeśli poczucie cel pracownika jest pełne, prawdopodobnie pracował on ciężko przez długi czas i będzie miał tendencję do wybierania zadań z mniejszym entuzjazmem.",,
need.Reproduction,Reprodukcja,,
need.Rest,Odpoczynek,,
need.Rest.info,"Istoty biologiczne męczą się podczas pracy. Będą musiały spędzić trochę wolnego czasu by odpocząć, zanim zajmą się czymś innym.",,
need.Safety,Bezpieczeństwo,,
need.Sanity,Zdrowiy rozsądek,,
need.Shower,Prysznic,,
need.Shower.info,"Kiedy istota się ubrudzi, będzie chciała wziąć prysznic.",,
need.Sleep,Sen,,
need.Sleep.info,"Wszystkie istoty biologiczne potrzebują snu, aby zachować siły. Zbuduj im łóżka.",,
need.Social,Towarzystwo,,
need.Stress,Stres,,
need.Stress.info,"Trzymaj stres pod kontrolą, bo inaczej twoi koloniści zaczną panikować lub robić szalone rzeczy!",,
need.Toilet,Toaleta,,
need.Toilet.info,"Kiedy potrzeba toalety jest niska, ta istota będzie chciała znaleźć toaletę.",,
needs,Potrzeby,,"Noun. Displayed on a button that will show the list of being's needs (i.e Hunger, Sleep, etc)"
needs.reload,Ponownie Załaduj Potrzeby,,
net.worth,Wartość Netto,,
new.update,Nowa Aktualizacja,,
new.update.note,Ostatnio grano: <b>{0} ({1})</b><br>Zaktualizowano do: <b>{2} ({3})</b><br><br> Zmieniło się <b> <color={4}>{5} rzeczy</color></b>.,16.08.2022,Removed commas at the end of version numbers
next,Następny,,
next.wake.up,Następne Wybudzenie,,
nickname,Przezwisko,,
no,Nie,,
no.access.to.starmap,"Aby mieć dostęp do Mapy Gwiezdnej, wymagane jest połączenie z Mostkiem Sterowania. Zbadaj „Podróże Kosmiczne”, aby zdobyć plan kontroli Mostka.",01.08.2022,
no.active.combat,Brak aktywnej walki,,
no.available.teleporter,Brak Dostępnych Teleporterów,,
no.blueprints,Brak Planów,,
no.blueprints.help,Opcje staną się dostępne po odblokowaniu planów kompatybilnych z tym urządzeniem.,,
no.chair.in.work.spot,Brak krzesła w miejscu do pracy,,
no.coffee,Brak Kawy,,
no.compute.shaders,Nie obliczaj modułów cieniujących,,
no.compute.shaders.info,"Gra nie działa, ponieważ twój procesor graficzny nie obsługuje <b>modułów cieniujących</b>.<br><br>Jeśli twój system ma wiele procesorów graficznych, upewnij się, że ten właściwy jest aktywny. Obecny procesor graficzny: <b>{0}</b>",04.07.2022,
no.data,Brak Danych,,
no.destination,Brak Miejsca Docelowego,,
no.energy.source,Brak Źródła Energii,,
no.force.fields,Pola Siłowe Niedostępne,,
no.fuel,Brak Paliwa,,
no.internet,Brak Połączenia Internetowego,,
no.internet.info,"Gra nie otrzymała odpowiedzi z witryny <b>stardeusgame.com</b>. Sprawdź, czy masz połączenie internetowe i czy gra nie jest blokowana przez zaporę sieciową lub oprogramowanie antywirusowe.<br><br>Funkcja „Zgłoś Błąd” jest niedostępna. Aby zgłosić swój problem, skorzystaj z kanału Stardeus na Discordzie.",11.08.2022,
no.items.available,Brak Przetwarzalnych Przemiotów,,
no.known.mats,Brak Informacji Wywiadowczych,,
no.known.mats.info,"Nie mamy wiedzy na temat materiałów dostępnych w tym obiekcie kosmicznym. Zbuduj radar i użyj akcji Skanuj na obiekcie kosmicznym, aby uzyskać informacje o złożach materiałów.",,
no.materials.available,Brak Dostępnych Materiałów,,
no.multiverse.tech,"Nie mamy jeszcze wystarczającej technologii, aby wyświetlić na mapie gwiezdnej cokolwiek powyżej poziomu Wszechświata.",,
no.plants.available,Brak Dostępnych Roślin,,
no.projectile,Brak Pocisków,,
no.research,Brak Badań,,
no.saves,Brak Zapisów,,
no.saves.available,Brak dostępnych zapisów,,
no.saves.desc,"Ta gra nie została jeszcze zapisana. Jeśli chcesz załadować inną grę, najpierw wyjdź do menu głównego.",,
no.shower,Brak Prysznica,,
no.shuttles,Brak Promów Kosmicznych,,
no.shuttles.desc,"Aby wysłać wyprawę, musisz zbudować co najmniej jeden prom kosmiczny.",,
no.socialize.partner,Brak osób do pogadania,,
no.target,Brak Celu,,
no.task,Brak Zadań,,
no.task.reason.could.not.fly,"Pominięto <b>{0}</b> zadań na otwartej przestrzeni, ponieważ ten <b>pracownik nie potrafi latać</b>.",,"{0} will be count of tasks, a number (1 or bigger)"
no.task.reason.job.priority0,"Pominięto <b>{0}</b> zadań, ponieważ <b>priorytet pracy jest ustawiony na 0</b> dla zadań tego typu.",19.04.2023,Displayed when showing a reason why the selected worker will not do some tasks. {0} will be count of tasks (a number).
no.task.reason.last.eval,Pracownik oszacował wszystkie zadania <b>{0} temu</b> (w czasie gry).,,
no.task.reason.no.skill,<b>Niewystarczające umiejętności</b> do wykonania <b>{0}</b> zadań.,,
no.task.reason.reluctant,"<b>{0}</b> zadań zostało pominiętych, ponieważ <b>pracownik jest niechętny</b> do wykonania tego zadania (zbyt daleko, zbyt zmęczony, ostatnio nie udało mu się go wykonać itp.).",04.12.2022,"Last update added ""too tired"" as one of the reasons"
no.task.reason.total,Istnieją <b>{0}</b> oczekujące zadania.,,
no.task.reason.unreachable.loc,"<b>Nie można dotrzeć</b> do miejsca pracy dla <b>{0}</b> zadań (brak ścieżki, brak drzwi lub zablokowane/brak zasilania).",,
no.task.reason.unreachable.loc.mem,Pominięto <b>{0}</b> zadań z powodu niedawnego <b>niedotarcia</b> do miejsca pracy lub materiału (wkrótce spróbuje ponownie).,,
no.task.reason.unreachable.mats.flying,"<b>Nie udało się uzyskać wszystkich wymaganych materiałów</b> do <b>{0}</b> zadań. Materiały są dostępne, ale mogą znajdować się za zamkniętymi lub pozbawionymi zasilania drzwiami.",,
no.task.reason.unreachable.mats.grounded,"<b>Nie udało się uzyskać wszystkich wymaganych materiałów</b> do <b>{0}</b> zadań. Materiały są dostępne, ale prawdopodobnie niedostępne, ponieważ <b>ten pracownik nie może latać</b> lub ponieważ znajduje się za zamkniętymi lub pozbawionymi zasilania drzwiami.",,
no.task.reason.unsafe,"Pominięto <b>{0}</b> zadań, ponieważ miejsce pracy lub materiały wymagane do wykonania zadania znajdowały się w <b>niebezpiecznym miejscu</b> (brak tlenu, za zimno, za gorąco).",,
no.task.reason.workable,Istnieje <b>{0}</b> <b>wykonalnych</b> zadań dla tej istoty.,,
no.tasks.rason.clock.stopped,"Uwaga: <b>Czas jest wstrzymany</b>. Zadania są szacowane tylko wtedy, gdy płynie czas.",,"The key contains mistype (rason instead of rason), but it is used with the mistype in game, it will remain like this to avoid changing all translation files"
no.terraform.controls,"Ta funkcja wymaga połączenia z urządzeniem Kontroli Terraformacji. Zbadaj „Terraformowanie”, aby zdobyć plan Kontroli Terraformowania.",,
no.terraform.target,Brak Celu do Terraformacji,,
no.terraform.target.help,"Zbliż się do planety nadającej się do terraformacji, aby rozpocząć proces terraformowania. Planety nadające się do terraformacji możesz znaleźć na Mapie Gwiezdnej, szukając specjalnego znaku w pobliżu nazwy Galaktyki, Systemu i Planety.",,
no.terraformable,Brak Planet do Terraformacji,,
no.terraformable.help,Nie odkryłeś jeszcze żadnej planety nadającej się do terraformacji. Zbuduj teleskop i użyj go do przeskanowania obserwowalnego Wszechświata w poszukiwaniu potencjalnych celów do Terraformacji.,,
no.toilet,Brak Toalety,,
no.upgrade,Brak Ulepszenia,,"A text placed in Upgrades UI of particular device. It means that it is possible to install upgrade to this slot, but there is no upgrade installed yet."
no.winch.anchor,Kotwica Wciągarki Niedostępna,,
noisy.crowd,Głośne Tłumy,,
non.controllable.worker,Pracownik Niezarządzalny,,
not.achieved.yet,Jeszcze nie zdobyto,,
not.available,Niedostępne,,
not.configured,Nieskonfigurowane,,
not.customizable.in.demo,Nie do zmiany w wersji demo,,
not.customizable.in.demo.storygen,"W wersji demo otrzymujesz jedynie losowy generator historii, który jest absolutnie niezbalansowany i będzie rzucał na ciebie zupełnie losowe zdarzenia.",,
not.docked,Niezdokowany,,
not.enclosed,Obszar niezamknęty,,
not.enough.ram,Nie wystarczająco Pamięci,,
not.enough.ram.info,"Wymagana pamięć: {0} EB, Dostępna: {1} EB. Sprawdź sieć energetyczną lub zbuduj więcej Modułów Pamięci (odblokowanych dzięki zbadaniu Przetwarzaniu Danych).",,
not.enough.storage,Brak Miejsca Na Dysku,,
not.enough.storage.info,"Wymagane Miejsce na Dysku: {0} ZB, Dostępne: {1}/{2} ZB. Zbuduj więcej Modułów Dysku (odblokowanych dzięki zbadaniu Przetwarzaniu Danych).<br><br>Możesz także odzyskać miejsce na dysku, otwierając menu <b><nobr>Zapisane Badania</nobr></b> po lewej stronie i wykonując polecenie <b>Wyładuj</b> na obiekcie badawczym.",,
not.growing,Nie rośnie,,
not.in.demo,Niedostępne w wersji demo,,
not.linked,Niepołączone,,
not.mining.currency,Nie Kopie Żadnej Kryptowaluty,,
not.petted.before,Nie było jeszcze przez nikogo głaskane,,
not.powered,Bez Zasilania,,
not.processing,Bezczynne. Pojemność kolejki: {0},,
not.ready,Nie Gotowe,,This refers to device that needs some preparation before it can be used
nothing.researched,Brak Znanych Technologii,,
nothing.to.clean,Nic do wyczyszczenia,,
nothing.to.clean.info,Nie ma brudu w zasięgu tego Bota do Czyszczenia.,,
notify.on.discharge,Powiadom na rozładowaniu,,
now.playing,Teraz leci: {0},,"This is about music, {0} will be the song name"
now.processing,Procesuje {0} [{1}/{2}],,
nowhere.to.sleep,Brak miejsca do spania,,
obj.asteroids.asteroid01,Asteroida,,
obj.asteroids.asteroid01.desc,"Tak, jest tak źle, jak wygląda. Trzymaj kciuki i miej nadzieję, że w nic nie trafi.",19.03.2022,
obj.asteroids.asteroid02,Asteroida,,
obj.asteroids.asteroid02.desc,"Tak, jest tak źle, jak wygląda. Trzymaj kciuki i miej nadzieję, że w nic nie trafi.",20.03.2022,
obj.asteroids.asteroid03,Asteroida,,
obj.asteroids.asteroid03.desc,"Tak, jest tak źle, jak wygląda. Trzymaj kciuki i miej nadzieję, że w nic nie trafi.",21.03.2022,
obj.asteroids.asteroidmega01,Mega Asteroida,,
obj.asteroids.asteroidmega01.desc,Niezwykle duża asteroida. Lepiej jak najszybciej znajdź Bariery Kwantowe.,,
obj.asteroids.asteroidmega02,Mega Asteroida,,
obj.asteroids.asteroidmega02.desc,Niezwykle duża asteroida. Lepiej jak najszybciej znajdź Bariery Kwantowe.,,
obj.asteroids.asteroidmega03,Mega Asteroida,,
obj.asteroids.asteroidmega03.desc,Niezwykle duża asteroida. Lepiej jak najszybciej znajdź Bariery Kwantowe.,,
obj.asteroids.meteor01,Meteor,,
obj.asteroids.meteor01.desc,"Nie jest taki straszny jak asteroida, ale ich deszcz może wyrządzić poważne szkody.",,
obj.containers.breachcapsuleflying,Kapsuła do Abordażu,,
obj.containers.breachcapsuleflying.desc,To nie wygląda przyjacielsko!,,
obj.containers.probeflying,Sonda,,
obj.containers.probeflying.desc,"Wystrzelona sonda, która jest w drodze do odległego obiektu aby go zeskanować.",,
obj.containers.stasispodflying,Kapsuła Zastoju,,
obj.containers.stasispodflying.desc,Kapsuła Zastoju może pomieścić istoty w stanie kriogenicznym i podróżować na duże odległości w przestrzeni.,,
obj.containers.storagecapsule,Kapsuła do Przechowywania,,
obj.containers.storagecapsule.desc,"Wzmocniony pojemnik, który może podróżować na duże odległości w przestrzeni kosmicznej. Pełni funkcję kapsuły kriostatycznej dla pojedynczego podróżnika lub może pomieścić niewielką ilość ładunku.",31.08.2023,
obj.eggs.egg01,Niezidentyfikowany Obiekt,,
obj.eggs.egg01.desc,Wygląda jak powiększone jajko. Pochodzenie nieznane,,
obj.equipment.clothing.fclothing01,Ubiór (F),,
obj.equipment.clothing.fclothing01.desc,"Typowy element ubioru, który pasuje do kobiecego typu ciała.",,
obj.equipment.clothing.fspacesuit01,Skafander Kosmiczny (F),,
obj.equipment.clothing.fspacesuit01.desc,"Skafander Kosmiczny umożliwia ludziom wyjście w otwartą przestrzeń. Do pełnego działania wymaga kompatybilnego kasku. Ludzie nadal będą potrzebować obszarów mieszkalnych do pewnych działań, takich jak jedzenie.",12.08.2022,
obj.equipment.clothing.mclothing01,Ubiór (F),,
obj.equipment.clothing.mclothing01.desc,"Typowy element ubioru, który pasuje do męskiego typu ciała.",,
obj.equipment.clothing.mspacesuit01,Skafander Kosmiczny (F),,
obj.equipment.clothing.mspacesuit01.desc,"Skafander Kosmiczny umożliwia ludziom wyjście w otwartą przestrzeń. Do pełnego działania wymaga kompatybilnego kasku. Ludzie nadal będą potrzebować obszarów mieszkalnych do pewnych działań, takich jak jedzenie.",12.08.2022,
obj.equipment.hats.ncrawler01,Pełzak,,
obj.equipment.hats.ncrawler01.desc,Takiej czapki na pewno nie potrzebujesz!,,
obj.equipment.hats.nhat01,Kapelusz,,
obj.equipment.hats.nhat01.desc,Wyrafinowany Kapelusz.,,
obj.equipment.hats.nspacehelmet01,Hełm Kosmiczny,,
obj.equipment.hats.nspacehelmet01.desc,Umożliwia ludziom wyjście na otwartą przestrzeń na ograniczony czas. Do pracy wymagany jest Skafander Kosmiczny.,,
obj.equipment.weapons.energyrifle01,Boń Energetyczna,,
obj.equipment.weapons.energyrifle01.desc,"Standardowa, kosmiczna broń energetyczna.",,
obj.materials.atmospheremix,Mix Atmosfery,,
obj.materials.atmospheremix.desc,Materiał używany do terraformowania atmosfery planety.,,
obj.materials.batterycell,Ogniwo Baterii,,
obj.materials.batterycell.desc,Typowe ogniwo baterii litowej stosowane w urządzeniach elektrycznych.,,
obj.materials.bioenrichedwater,Woda Wzbogacona Biologicznie,,
obj.materials.bioenrichedwater.desc,Materiał używany do terraformowania oceanów.,23.09.2022,
obj.materials.biowaste,Bioodpady,,
